date,HPG,TCB,FPT,PNJ,FRT,MWG,MBB,VNINDEX,W,D,E1,E0,DR,DR(VNI),CR,Sharpe,MaxDrawdown,YR
23/03/2026,25500.0,28900.0,73100.0,106300.0,150000.0,74200.0,25000.0,1591.17,0.0,0.0,19020000.0,19725000.0,-0.03574144486692015,-0.034372894933275,1.2376819198154236,-0.9855835531185052,-0.6209609148329583,-0.48932922412146074
20/03/2026,25900.0,29850.0,74600.0,114200.0,148600.0,79700.0,25950.0,1647.81,0.0,0.0,19725000.0,20725000.0,-0.04825090470446321,-0.03020369247791521,1.320624388452115,-0.9855835531185052,-0.6209609148329583,-0.48932922412146074
19/03/2026,26700.0,30050.0,76800.0,114900.0,149000.0,82400.0,26400.0,1699.13,0.0,0.0,20725000.0,21330000.0,-0.028363806844819504,-0.008577280126967013,1.4382732801353657,-0.9855835531185052,-0.6209609148329583,-0.48932922412146074
18/03/2026,26800.0,30300.0,78600.0,115000.0,149700.0,83700.0,26300.0,1713.83,0.0,0.0,21330000.0,21610000.0,-0.012956964368347987,0.0020698244157424384,1.5094508596037324,-0.9855835531185052,-0.6209609148329583,-0.48932922412146074
17/03/2026,26900.0,30300.0,79400.0,117700.0,152200.0,82700.0,26350.0,1710.29,0.0,0.0,21610000.0,21180000.0,0.020302171860245515,0.010087348881709923,1.5423925492750428,-0.9855835531185052,-0.6209609148329583,-0.48932922412146074
16/03/2026,26750.0,30200.0,78200.0,118000.0,150500.0,80600.0,26100.0,1693.21,0.0,0.0,21180000.0,20760000.0,0.02023121387283237,-0.0017863038249303909,1.4918035258512452,-0.9855835531185052,-0.6209609148329583,-0.48932922412146074
13/03/2026,26650.0,30000.0,77000.0,116900.0,149100.0,82000.0,26150.0,1696.24,0.0,0.0,20760000.0,21030000.0,-0.012838801711840228,-0.007820497072431709,1.4423909913442796,-0.9855835531185052,-0.6209609148329583,-0.48932922412146074
12/03/2026,26800.0,30000.0,77700.0,117900.0,153600.0,84600.0,26250.0,1709.61,0.0,0.0,21030000.0,22130000.0,-0.04970628106642567,-0.01083698809262068,1.4741561920987571,-0.9855835531185052,-0.6209609148329583,-0.48932922412146074
11/03/2026,27400.0,31100.0,80200.0,119000.0,155300.0,86500.0,26800.0,1728.34,0.0,0.0,22130000.0,21720000.0,0.018876611418047883,0.030780149457575012,1.603569972950333,-0.9855835531185052,-0.6209609148329583,-0.48932922412146074
10/03/2026,27100.0,30300.0,79500.0,113500.0,145200.0,81000.0,26550.0,1676.73,0.0,0.0,21720000.0,19835000.0,0.09503403075371818,0.014484598769353596,1.5553339273602003,-0.9855835531185052,-0.6209609148329583,-0.48932922412146074
09/03/2026,25350.0,29250.0,75900.0,106500.0,140100.0,77000.0,24850.0,1652.79,0.0,0.0,19835000.0,22525000.0,-0.11942286348501664,-0.06507941895194136,1.3335657665372733,-0.9855835531185052,-0.6209609148329583,-0.48932922412146074
06/03/2026,27250.0,31450.0,81600.0,114500.0,150600.0,82700.0,26700.0,1767.84,0.0,0.0,22525000.0,23440000.0,-0.0390358361774744,-0.02248812558404434,1.650041285165217,-0.9855835531185052,-0.6209609148329583,-0.48932922412146074
05/03/2026,27250.0,32200.0,84400.0,116000.0,159000.0,85200.0,27050.0,1808.51,0.0,0.0,23440000.0,23860000.0,-0.01760268231349539,-0.005367739664626225,1.7576900210553914,-0.9855835531185052,-0.6209609148329583,-0.48932922412146074
04/03/2026,27700.0,32500.0,85100.0,120900.0,163800.0,88800.0,26950.0,1818.27,0.0,0.0,23860000.0,24540000.0,-0.027709861450692746,0.0028293457758363783,1.8071025555623565,-0.9855835531185052,-0.6209609148329583,-0.48932922412146074
03/03/2026,27700.0,33600.0,87000.0,122000.0,165000.0,88200.0,27050.0,1813.14,0.0,0.0,24540000.0,25745000.0,-0.046805204894154205,-0.01785385407074358,1.8871038019069668,-0.9855835531185052,-0.6209609148329583,-0.48932922412146074
02/03/2026,28500.0,34650.0,89600.0,124500.0,169000.0,90000.0,27650.0,1846.1,10866200.0,0.0,25745000.0,37915000.0,-0.034387445602004484,-0.018204251381406467,2.0288707163852835,-0.9855835531185052,-0.6209609148329583,-0.48932922412146074
27/02/2026,28800.0,36250.0,92900.0,121900.0,169000.0,93100.0,28500.0,1880.33,0.0,0.0,37915000.0,37645000.0,0.007172267233364325,0.0003670915707261191,2.1367350212980734,-0.9855835531185052,-0.6209609148329583,-0.48932922412146074
26/02/2026,29400.0,36450.0,90500.0,120000.0,170900.0,93600.0,28800.0,1879.64,0.0,0.0,37645000.0,37150000.0,0.01332436069986541,0.010064968214475778,2.1143977285181585,-0.9855835531185052,-0.6209609148329583,-0.48932922412146074
25/02/2026,29300.0,36000.0,89100.0,119500.0,171000.0,93000.0,28750.0,1860.91,0.0,0.0,37150000.0,37750000.0,-0.015894039735099338,-0.0035928079587923545,2.073446025088314,-0.9855835531185052,-0.6209609148329583,-0.48932922412146074
24/02/2026,28300.0,35800.0,92500.0,120500.0,171000.0,92200.0,28250.0,1867.62,0.0,11558540.0,37750000.0,26225000.0,-0.0008876881308633336,0.0040212027051726995,2.1230844534881252,-0.9855835531185052,-0.6209609148329583,-0.48932922412146074
23/02/2026,27500.0,35850.0,94500.0,120200.0,171900.0,92000.0,28350.0,1860.14,0.0,0.0,26225000.0,25915000.0,0.011962184063283813,0.0197632792241611,2.1258592416356747,-0.9855835531185052,-0.6209609148329583,-0.48932922412146074
13/02/2026,26850.0,35450.0,96300.0,120000.0,170000.0,92800.0,28300.0,1824.09,0.0,0.0,25915000.0,25885000.0,0.0011589723778249951,0.005512405668957943,2.0889091419252055,-0.9855835531185052,-0.6209609148329583,-0.48932922412146074
12/02/2026,26900.0,35450.0,98800.0,118500.0,167000.0,92900.0,28350.0,1814.09,0.0,0.0,25885000.0,25830000.0,0.002129307007355788,0.009594568272254245,2.0853333258241924,-0.9855835531185052,-0.6209609148329583,-0.48932922412146074
11/02/2026,26850.0,35300.0,98600.0,115900.0,167000.0,91900.0,29000.0,1796.85,0.0,0.0,25830000.0,25360000.0,0.018533123028391166,0.024412353266477727,2.078777662972335,-0.9855835531185052,-0.6209609148329583,-0.48932922412146074
10/02/2026,26550.0,34600.0,97800.0,112900.0,165000.0,89300.0,27850.0,1754.03,0.0,0.0,25360000.0,25475000.0,-0.004514229636898921,-0.00045018862333456866,2.022756544056462,-0.9855835531185052,-0.6209609148329583,-0.48932922412146074
09/02/2026,26750.0,34750.0,99000.0,112900.0,164000.0,89300.0,27600.0,1754.82,0.0,0.0,25475000.0,24980000.0,0.019815852682145717,-0.0003816598214744227,2.036463839110346,-0.9855835531185052,-0.6209609148329583,-0.48932922412146074
06/02/2026,26800.0,34600.0,97600.0,108900.0,160400.0,88400.0,27350.0,1755.49,0.0,0.0,24980000.0,26405000.0,-0.053967051694754783,-0.015186024593842551,1.977462873443629,-0.9855835531185052,-0.6209609148329583,-0.48932922412146074
05/02/2026,27550.0,34850.0,99000.0,116200.0,170000.0,90200.0,27050.0,1782.56,0.0,0.0,26405000.0,27455000.0,-0.038244399927153526,-0.004951351713435748,2.1473141382417547,-0.9855835531185052,-0.6209609148329583,-0.48932922412146074
